"001","002","003","004","005","006","007","008","009","010"
1577,1546,1226,958,1061,1384,1710,1909,1982,1673
1846,1815,1495,1227,1330,1653,1979,2179,2251,1943
1963,1932,1612,1344,1448,1771,2096,2296,2368,2060
2133,1830,1917,1903,2006,2329,2538,2394,2698,2618
2043,2012,1692,1424,1528,1851,2176,2376,2448,2140
2014,1983,1663,1395,1499,1822,2147,2347,2419,2111
2530,2227,2324,2056,2159,2482,2808,2791,3080,2771
2393,2091,2178,2033,2136,2459,2799,2655,2958,2748
2528,2225,2312,2551,2654,2977,2934,2789,3093,3155
2912,2609,2696,2840,2944,3267,3318,3173,3477,3556
