"021","022","023","024","025","026","027","028","029","030"
1481,2674,1851,2214,1523,1478,1903,1362,1024,847
1751,2915,2091,2454,1763,1692,2144,1631,1264,1095
1868,2805,1982,2344,1654,1609,2034,1553,1155,1102
1765,2734,1937,2211,1546,1501,1926,1445,1259,1593
1948,3094,2297,2571,1906,1861,2286,1805,1488,1292
1919,3109,2285,2778,2113,1860,2493,1799,1459,1263
2162,3131,2334,2608,1943,1898,2323,1842,1682,1924
2026,2995,2197,2471,1807,1762,2187,1706,1545,1900
2161,3129,2332,2606,1941,1897,2321,1840,1680,2014
2545,3513,2716,2990,2325,2281,2706,2225,2064,2398
