"031","032","033","034","035","036","037","038","039","040"
1558,1049,1467,1483,1598,1341,1719,1798,2047,1720
2907,2453,3060,3067,3234,2926,3303,3383,3631,3304
2203,1749,2356,2364,2530,2222,2600,2679,2928,2601
2470,2208,2623,2993,2797,2852,3230,3309,3558,3231
1801,1203,1919,1818,2128,1676,2054,2133,2382,2055
1548,844,1559,1667,1782,1526,1903,1983,2231,1904
2092,1559,2245,2394,2419,2253,2631,2710,2958,2631
1336,550,1347,1375,1490,1234,1612,1691,1940,1612
972,456,1114,1477,1592,1335,1713,1792,2041,1714
597,849,1097,1555,1383,1414,1792,1871,2120,1793
