"001","002","003","004","005","006","007","008","009","010"
1002,578,823,1043,1312,1524,1171,903,1186,1409
2744,2441,2391,2627,2896,3108,3149,3005,3225,3300
2040,1737,1687,1924,2193,2405,2446,2301,2522,2597
2595,2292,2379,2692,2832,3035,3001,2856,3160,3227
1494,1191,1141,1378,1647,1859,1900,1755,1976,2051
1298,995,1024,1227,1496,1708,1704,1559,1825,1900
1956,1653,1738,1954,2223,2435,2361,2217,2520,2627
962,875,576,982,1205,1417,1530,1439,1653,1609
1448,1370,1070,940,1270,1453,1772,1765,2044,1710
1672,1606,1286,1156,1260,1597,1851,2001,2123,1789
