"001","002","003","004","005","006","007","008","009","010"
2906,2479,2903,2994,2974,2826,2653,2592,2496,2719
2749,2323,2618,2837,2869,2722,2548,2436,2391,2614
2631,2205,2628,2719,2809,2662,2488,2318,2331,2555
2912,2486,2909,3000,2980,2833,2659,2599,2503,2726
3106,2680,3104,3195,3284,3137,2963,2793,2806,3030
2925,2498,2922,3013,3103,2955,2781,2611,2625,2848
3560,3133,3498,3642,3679,3532,3358,3246,3201,3425
4091,3664,4088,4295,4159,4012,3838,3778,3681,3905
3361,3058,3145,3289,3392,3495,3322,3261,3165,3388
4794,4491,4578,4793,5026,5229,5200,5055,5359,5421
