"195","196","197","198","199","200","201","202","203","204"
4668,5514,5439,6861,4850,4324,4475,5158,4604,5136
4563,5367,5291,6713,4702,4219,4370,5053,4499,5032
4503,5314,5238,6739,4649,4159,4310,4993,4439,4972
4674,5521,5445,6867,4856,4331,4481,5164,4610,5143
4978,5786,5710,7132,5121,4634,4785,5468,4914,5447
4797,5337,5261,6683,4672,4453,4603,5287,4732,5146
5233,5435,5360,6782,4770,4890,5040,5589,4989,5244
5887,6089,6013,7435,5424,5543,5694,6243,5643,5898
4881,5082,5007,6429,4418,4537,4687,5236,4636,4892
6506,6708,6632,8054,6043,6162,6313,6861,6261,6517
