"001","002","003","004","005","006","007","008","009","010"
3400,3429,3109,2745,2671,2733,2987,3187,3259,2925
2942,2971,2651,2287,2213,2459,2713,2913,2985,2651
3078,3047,2727,2459,2784,3030,3284,3484,3556,3222
3459,3487,3167,2804,2730,2976,3230,3429,3502,3168
3263,3232,2912,2644,2748,3071,3431,3631,3703,3369
3510,3600,3280,2988,2815,2859,3113,3313,3385,3051
6155,6245,5925,5633,5460,5504,5758,5958,6030,5696
3791,3760,3440,3172,3368,3412,3666,3866,3938,3604
2738,2828,2508,2216,2043,2087,2341,2541,2613,2279
3236,3326,3006,2714,2541,2585,2839,3039,3111,2777
