"001","002","003","004","005","006","007","008","009","010"
2761,2505,2521,2692,2961,2927,2753,2583,2596,2819
2355,1929,2224,2444,2514,2367,2193,2042,2036,2260
2724,2298,2593,2812,2844,2696,2523,2411,2366,2589
2979,2553,3003,3174,3099,2952,2778,2666,2621,2845
3099,2672,2967,3187,3218,3071,2897,2785,2740,2964
3475,3048,3344,3563,3594,3447,3273,3161,3117,3340
5280,4854,5149,5369,5400,5253,5079,4967,4922,5146
5823,5396,5820,5911,5891,5744,5570,5509,5413,5637
4178,3752,4175,4266,4355,4208,4034,3865,3877,4101
3240,2813,3237,3328,3308,3160,2987,2926,2830,3053
