"165","166","167","168","169","170","171","172","173","174"
41895,52011,42430,40013,48062,43482,63242,52201,40858,45871
51422,61538,51957,49540,45736,51607,73681,62640,43480,48492
55097,65213,55632,53214,49411,55281,77356,66314,70381,75393
48501,58617,49036,46619,42815,48686,70761,59719,63785,68798
56858,66974,57393,54975,51172,57042,79117,68075,72142,77154
58332,68448,58867,56449,52646,58516,80591,69549,73616,78628
73236,83352,73771,71354,67550,73421,95495,84453,88520,93533
78077,88193,78612,76194,72391,78261,100336,89294,93361,98373
54112,64228,54647,52229,48426,54296,76371,65329,69396,74408
48918,59034,49453,47035,43232,49102,71177,60135,64202,69214
