"071","072","073","074","075","076","077","078","079","080"
77784,65086,60483,65059,55993,65629,61222,41197,42154,41751
70970,58272,53669,58245,63937,58815,54408,43962,47717,49696
72724,60025,55423,59998,65691,60568,56161,47471,49470,51449
77106,64408,59806,64381,70074,64951,60544,51854,53853,55832
80441,67743,63140,67716,73408,68285,63879,55189,57187,59166
81915,69217,64614,69189,74882,69759,65352,56663,58661,60640
96819,84121,79518,84094,89786,84664,80257,71567,73566,75545
114895,102197,97594,102170,107862,102740,98333,88142,91642,93621
88432,75734,71131,75707,81399,76277,71870,63180,65179,67158
85741,73043,68440,73016,78708,73585,69179,58988,62487,64466
