"021","022","023","024","025","026","027","028","029","030"
2220,2335,1589,2692,1692,2149,2910,2197,2433,2767
1911,2562,1817,2921,1663,2120,2881,2294,2404,2738
2280,3174,2234,3263,2004,2462,3222,2635,2745,3079
2535,2975,2230,3333,2174,2631,3392,2678,2915,3249
2654,3325,2580,3682,2583,3041,3801,3028,3324,3658
3030,3701,2956,4058,2959,3417,4177,3404,3700,4035
4836,5453,4708,5810,4765,5109,5983,5156,5506,5840
5378,5793,5048,6150,4991,5449,6209,5496,5732,6067
3734,4148,3403,4506,3346,3804,4564,3851,4088,4422
2795,3210,2465,3567,2408,2865,3626,2913,3149,3483
