"X001","X002","X003","X004","X005","X006","X007","X008","X009","X010","X011","X012","X013","X014","X015","X016","X017","X018","X019","X020","X021","X022","X023","X024","X025","X026","X027","X028","X029","X030","X031","X032","X033","X034","X035","X036","X037","X038","X039","X040","X041","X042","X043","X044","X045","X046","X047","X048","X049","X050","X051","X052","X053","X054","X055","X056","X057","X058","X059","X060","X061","X062","X063","X064","X065","X066","X067","X068","X069","X070","X071","X072","X073","X074","X075","X076","X077","X078","X079","X080","X081","X082","X083","X084","X085","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207"
48147,46975,45321,50711,48077,52716,50656,50273,55770,56044,54406,52361,56344,59489,58183,52376,50441,52064,48079,49821,46590,44245,43316,41933,41501,41910,41410,42188,38332,39779,43892,44224,44917,51828,48620,51518,52279,55261,55751,55485,58165,59726,63518,67616,62086,59657,59802,64715,64235,68654,65794,67218,60145,62634,56241,64932,57957,60601,66037,75390,73340,75246,68135,70832,71777,72576,90968,73685,70185,77936,91982,79284,67192,66286,78662,66110,61078,59064,59859,64421,76996,52723,58312,56730,53264,82647,62549,62146,61009,63405,58407,59495,64455,77982,60785,54296,65317,50572,47445,44311,51022,53695,64325,56550,66668,67360,85340,80024,63500,56081,56682,52259,54380,55751,41546,47920,25910,28887,34723,48860,12899,23571,35689,37069,36368,40374,33044,33514,30642,33993,23399,26215,28313,29544,35035,38457,39857,41464,44121,40027,37573,45562,32642,27588,30298,34529,27900,26223,21920,22430,17141,0,14871,20817,29652,35523,62666,51211,52822,57834,64176,47715,49226,51784,47599,49139,50396,52731,50625,54407,52828,52103,52697,55336,60544,57381,115469,68617,56714,67702,69414,84768,83703,97578,80687,69929,71857,88196,81737,84410,82018,99210,98328
42783,41611,39958,45347,42713,47352,45293,44910,50406,50680,49042,46997,50981,54125,52819,47012,45078,46700,42715,44457,41227,38881,37952,36569,36138,36547,36047,36825,32968,34415,38529,38860,39554,46465,43256,46154,46915,49897,50387,50121,52802,54362,58155,62253,56722,54294,54438,59351,58871,63291,60431,61854,54781,57270,50877,59568,52594,55238,60673,70026,67977,69882,62772,65468,66414,67213,85604,68321,64822,72572,86618,73920,61828,60922,73299,60746,55714,53700,54495,59057,71632,47359,52948,51366,47900,77283,57185,56782,55646,58041,53043,54131,59091,72618,55421,48932,59953,45208,42082,38947,45658,48331,58961,51187,61304,61996,79976,82273,58136,50717,51318,46895,49016,50388,36183,42556,41972,46322,51061,60207,25201,32472,30326,31705,31004,35011,27680,28150,25278,28630,32299,20851,22949,24180,29671,33093,34494,36100,38757,34663,32209,40198,27278,22225,24935,29165,22537,20860,11872,13347,8059,14030,0,10768,24288,30159,33223,20557,47458,52471,58812,42352,43863,46420,42235,43775,45032,47367,45261,49043,47464,46739,47333,49972,55181,52017,110105,63253,51350,62339,64050,79405,78340,92214,75323,64565,66493,82832,76373,79046,76655,93846,92964
36056,34884,33231,30751,30344,34724,38566,38182,43679,38008,36607,35667,39181,42080,46092,40285,38351,39973,35988,37730,34500,32154,31225,29842,29410,29820,29320,30097,26241,27688,26052,32133,27946,33951,30743,33641,34402,37384,37874,38553,43252,41849,45429,50684,43668,42672,47711,47783,47303,51722,53703,55127,48054,50543,44150,52841,45867,48510,53946,63299,61250,63155,56045,58741,59687,55644,78877,54929,52308,60058,74105,61407,49315,48409,60785,48233,43201,41187,41982,46544,59119,34846,40435,38853,35387,70556,50458,50055,48918,51314,46316,47404,52364,65891,48694,42205,53226,38481,35354,32220,38931,41604,52234,44459,54577,55269,73249,75546,51409,43990,44591,40168,42289,43660,29456,35829,35245,39595,44334,65706,31633,25745,23598,24978,24277,28283,20953,21423,18551,21903,25572,14124,16222,17453,22944,26366,27766,22181,26244,22150,19191,19870,15822,15497,12878,16148,7837,6866,4316,11310,9798,19530,10333,0,7976,13847,36358,29535,34945,28350,42500,29838,31349,33907,29722,31262,32519,34854,32748,36530,34951,34226,34820,37459,33877,38445,97592,39994,38837,44363,51536,66891,65826,79701,62810,52052,53980,70319,63860,66533,64141,81333,80451
32990,31819,30165,29393,28987,33366,35500,35117,40613,36650,35249,34309,37823,40722,43026,37219,35285,36907,32923,34664,31434,29088,28159,26777,26345,26754,26254,27032,23176,24622,24694,29067,26588,32593,29385,32283,33044,36026,36516,37195,41895,40491,44071,49326,42310,41314,44158,46425,45945,50365,50638,52061,44989,47477,41084,49776,42801,45445,50880,60233,58184,60089,52979,55676,56621,54286,70201,53571,50951,58701,72747,60049,47957,47051,59428,46875,41843,39829,40624,45186,57761,33488,39077,37495,34029,67011,47392,46989,45853,64579,43251,44338,49298,62346,52858,39140,49680,35415,32289,29155,35865,48650,48689,40914,51032,51724,69704,72000,47864,40445,41046,36623,38744,40115,25910,32283,31700,36050,40789,72087,28088,22200,20053,21433,21211,25218,17407,17877,15006,18357,22027,10579,12677,14387,19878,23301,24701,20823,24886,20792,17833,18512,14465,12432,11520,14790,3691,5500,6307,15881,14071,28358,14606,7145,0,9391,31903,25079,35509,23894,38044,28481,29992,32549,28364,29904,31161,33496,31390,35172,33593,32868,33462,33646,29421,33989,85606,35539,38593,39908,46401,54905,53840,67715,50823,50694,57644,58333,51874,54546,52155,69347,68465
40182,39010,37356,37788,37381,41760,42691,42308,47804,45044,43644,42704,46217,49117,50218,44411,42476,44099,40114,41855,38625,36280,35351,33968,33536,33945,33445,34223,30367,31814,33946,36259,34757,36961,33753,36650,37411,40393,40883,45589,44596,44858,48651,53059,50704,49709,52553,54819,54340,56250,57829,59253,52180,54669,48276,56967,49992,52636,58072,67425,65375,67281,60170,62867,63812,62681,78596,57938,55318,63068,90191,64416,52324,51418,59161,47581,46211,44197,45679,38579,48230,40192,43444,42592,38396,73752,54584,54181,53044,55440,50442,51530,56490,69087,52820,46331,56422,42607,39480,36346,43056,45730,55430,47655,57773,58465,76445,78742,54605,47186,47787,43364,45485,46856,32651,39025,38441,42791,47530,78828,34829,28941,26794,28174,28403,32409,24149,24619,21747,25098,28768,17320,19418,21579,27070,30492,31892,35230,32055,30159,35971,37187,24677,19623,19012,22282,12873,13000,12361,22623,20712,35100,21247,13786,9478,0,29755,17831,28261,16646,30796,32848,34359,36037,34726,36265,38151,40582,37752,35021,29769,31741,28762,26397,22173,26741,78357,28290,31345,32659,39152,47657,46592,60467,43575,49600,50396,51084,44625,47298,44907,62098,61216
61155,59984,58330,63720,61085,65724,63665,63282,68778,69052,67415,65370,69353,72498,71191,65384,63450,65073,61088,62829,59599,57254,56325,54942,54510,54919,54419,55197,51341,52788,56901,57232,57926,66283,63075,65972,66733,69715,70205,68494,71174,74180,77973,80625,75095,72666,72811,77724,77244,81663,78803,80226,73154,75643,69249,77941,70966,73610,79046,88398,86349,88255,81144,83841,84786,85585,103976,86694,84640,92866,106436,93738,81646,80741,88727,80564,75533,73519,74313,78875,91450,67178,72766,71185,67718,97101,75557,75154,74018,76413,71416,72504,77463,92436,73794,67305,79771,63580,60454,57320,64030,66704,78780,71005,81123,81815,99795,102091,77954,70535,71136,66714,68835,70206,56001,62374,61791,66141,70880,65943,58178,52290,50144,51523,49377,53383,47498,47968,45096,48448,52118,40670,42767,42553,48043,51466,52866,54472,58575,54481,52027,60016,45650,40597,43307,48984,41179,39502,40948,45972,48159,58275,34306,37219,32911,31708,0,26716,57827,46211,60361,62170,63681,66238,62053,63593,64851,67186,65080,68861,67283,66558,67152,55963,51738,56307,107923,57856,60910,62225,68718,77222,76157,90032,73141,79165,79961,80650,74191,76864,74472,91664,90782
42150,50276,42200,39455,39048,43428,47661,49555,50286,46712,45311,44371,47885,50784,55760,51341,49964,55365,51380,48094,49892,47546,46617,45234,44802,45212,44712,45489,41633,38861,35614,39278,36424,38628,35420,38317,39078,42060,42551,47257,46264,46526,50318,54726,52372,51376,54220,56487,56007,57918,61985,63420,57252,59741,53348,58400,54232,59567,65002,74355,72306,71777,64584,67023,66889,64348,80263,59606,56985,64735,91859,66083,53991,53086,60829,49249,47878,45864,47347,40246,49898,41859,45111,44259,40064,85018,61514,61111,59975,62370,57373,58460,63420,65690,59751,59409,67688,53873,50746,47612,54323,56996,66696,58921,69039,69731,87711,90008,65871,58452,59053,54630,56751,58123,43918,50291,49707,54057,58796,86282,46095,40207,38060,39440,39669,43675,35415,35885,33013,36365,40034,28586,30684,32845,38336,41758,40129,36898,33723,31826,37639,38855,35943,30889,30278,41250,24140,24266,23628,33889,31979,46366,20446,25052,20744,15212,25401,0,29929,19394,19633,34515,36026,37704,36393,37933,39818,42250,39419,36688,31437,33409,30430,28065,23840,28409,80025,29958,33012,34327,40820,49324,48259,62134,45242,51267,52063,52752,46293,48966,46574,63766,62884
38808,42824,38858,36113,35706,40086,44319,46213,46944,43370,41969,41029,44543,47442,52418,47999,46622,47913,47090,44752,42440,48736,45224,44563,43483,41435,43392,39654,38854,35519,32272,35936,33082,35286,32078,34975,35736,38718,39209,43915,42922,43184,46976,51384,49030,48034,50878,53145,52665,54576,58643,60078,53910,56399,50006,55058,50890,56225,61660,71013,68964,68435,61242,63681,63547,61006,76921,56264,53643,61393,86752,61861,50649,49744,55722,44142,44536,42522,44005,35140,44791,35021,41769,40917,36722,79069,58172,57769,56633,59028,54031,55118,60078,74403,56409,56067,61738,59561,49354,46219,52930,60707,60747,52972,63090,63782,81762,84058,59921,52502,53104,48681,50802,52173,48177,44341,43758,48108,52847,101896,40146,34258,44997,46352,34075,43004,29985,30455,27583,35914,34085,23156,25254,22644,27878,39775,36787,33556,30381,28484,34297,35513,23680,20432,20736,37908,18138,18750,27047,28063,32866,42982,33401,28472,24164,13586,41016,24965,0,13207,34497,31173,32684,34362,31287,32826,34084,36419,34313,31582,26330,28302,25323,22958,18734,23302,74918,24851,27906,29220,35713,44218,43153,57028,40136,46161,46957,47645,41186,43859,41468,58659,57777
33037,37053,33087,30341,29935,34314,38547,40442,41173,37598,36197,35258,38771,41670,46646,42227,40850,42141,41318,38980,36668,42965,39452,38792,37712,35663,37621,33882,33083,29748,26500,30165,27311,29514,26306,29204,29965,32947,33437,38143,37150,37412,41204,45613,43258,42262,45106,47373,46893,48804,52872,54307,48139,50627,44234,49287,45118,50453,55889,65241,63192,62663,55470,57909,57775,55235,71149,50492,47872,55622,78195,53304,44878,37841,47165,35585,38764,36750,28686,26583,36234,26464,27171,31861,30950,76532,52400,51998,50861,53256,48259,49347,54307,56577,50637,50296,76837,46708,43582,40448,47158,49831,75845,68070,78188,78880,96860,99157,75020,67601,68202,63779,65900,67272,63276,59440,58856,63206,67945,101442,55244,49356,60095,61451,33690,37233,45083,45553,42681,51012,49183,38255,40352,35810,36901,34003,31015,27784,24609,22713,28525,29741,34058,33855,34439,32136,34104,34716,26593,43161,34944,49331,35479,28018,23710,18177,40562,14652,20815,0,15353,25402,26913,26915,22730,24270,25527,27862,25756,23025,17773,19745,16766,14402,10177,14745,66361,16294,19349,20663,27156,35661,34596,48471,31579,37604,38400,39088,32629,35302,32911,50102,49220
45225,49241,45275,42530,42123,46502,50736,52630,53361,49786,48386,47446,50959,53859,58835,54416,53039,54330,53506,51168,48856,55153,51641,50980,49900,47852,49809,46071,45271,41936,38689,42353,39499,41703,38495,41392,42153,45135,45625,50331,49338,49600,53393,57801,55447,54451,57295,59562,59082,60992,65060,66495,60327,62816,56423,61475,57306,62641,68077,77430,75381,74852,67659,70098,69964,67423,83338,62681,60060,67810,92863,67972,57066,52509,61833,50254,50953,48939,43354,41251,50903,41132,48186,47334,43138,88720,64589,64186,63049,65445,60447,61535,66495,68765,62825,62484,86264,58897,55770,52636,59346,62020,85272,77498,87616,88308,106288,108584,84447,77028,77629,73207,75327,76699,62494,68867,68284,72634,77373,117934,64671,58783,56637,58016,58245,49421,53991,54461,51589,54941,58611,47163,49260,51421,49089,46192,43204,39972,36797,34901,40714,41930,46246,49466,46627,44324,42716,42842,42204,52465,50555,64942,51090,43629,39321,33788,56173,21147,33003,15366,0,37590,39101,40779,37398,38938,40195,42530,40424,37693,32441,34413,31435,29070,24845,29413,81029,30963,34017,35331,41825,50329,49264,63139,46247,52272,53068,53757,47298,49970,47579,64770,63888
