X001,X002,X003,X004,X005,X006,X007,X008,X009,X010,X011,X012,X013,X014,X015,X016,X017,X018,X019,X020,X021,X022,X023,X024,X025,X026,X027,X028,X029,X030,X031,X032,X033,X034,X035,X036,X037,X038,X039,X040,X041,X042,X043,X044,X045,X046,X047,X048,X049,X050,X051,X052,X053,X054,X055,X056,X057,X058,X059,X060,X061,X062,X063,X064,X065,X066,X067,X068,X069,X070,X071,X072,X073,X074,X075,X076,X077,X078,X079,X080,X081,X082,X083,X084,X085,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207
27830,26432,25830,28039,28479,30465,29732,29768,31719,31940,32507,32656,34707,34483,33665,27593,24154,21436,19772,21822,24617,13871,16197,16789,19176,21691,21939,23701,23093,24129,25845,25112,27633,29828,31775,31256,33445,34958,37473,36176,38522,40397,42114,42713,39766,37512,36679,38777,40083,41780,39550,38695,35883,35434,32954,33956,31719,30607,36879,44458,42598,47120,42507,42934,46671,46686,56411,47556,46082,52230,61553,50704,45815,46636,51977,45617,42220,41230,42185,42588,43946,37952,38715,39433,36310,39010,31192,28583,27513,27562,24801,24389,25816,22189,20767,20859,17504,14562,16322,16362,12656,12347,12549,10507,12751,14341,15700,5542,9663,4838,2807,5357,7422,0,9935,4482,5245,8936,16975,25537,16725,7013,7149,8185,19407,17240,11254,9653,12025,10918,11081,14942,16138,18214,17970,21021,22876,25724,27753,26633,24258,25591,22381,19742,21776,23999,21418,19802,19295,17486,18648,24382,22777,21314,23420,26272,30033,35762,34855,38555,42901,31924,33266,34556,34583,35779,36277,38294,37393,39940,38721,35861,36696,38594,42006,40083,43101,41820,43897,48433,48137,50008,54265,52118,48916,50954,52432,53732,55306,58591,65450,59152,82347
17900,16511,15920,18194,18749,20571,19797,19899,21874,22011,22576,22775,24776,24574,23846,17909,14574,12088,10135,11937,14737,5326,6391,7283,9349,11807,12501,13893,13874,15187,16652,15452,18264,20381,22322,21557,23759,25173,27736,26278,28655,30549,32196,32783,29831,27577,26835,28931,30183,31909,29846,29252,26388,26189,23321,24718,22261,21399,28385,36090,33753,38005,33036,33153,37101,36893,46761,37647,36147,42298,51642,40842,35942,36896,42389,36119,32441,31550,32622,33216,34756,28691,29360,29871,26769,31383,22504,20040,19138,19575,16054,16026,18169,14707,12713,11939,14123,6526,6980,6465,3084,5801,8188,7560,12752,13245,16886,14186,10243,9128,11321,6659,4305,9935,0,6053,12372,18671,26867,34959,24181,11963,8144,3558,10451,8152,8654,9494,11174,12476,13554,12852,12127,12023,10408,12896,14696,17037,19066,18636,16269,18052,15268,13942,15823,17358,17661,16377,17398,15681,19614,28473,23695,19903,20194,23180,28779,31598,29405,33023,38308,22789,23902,25299,25680,26819,27101,29258,28638,31099,30208,27618,29053,30763,34659,31940,35155,33051,35178,39509,39388,41609,45982,43502,39836,41798,43260,44919,46356,50213,56873,49918,73089
23704,22457,21657,23776,24138,26250,25676,25900,27889,27917,28381,28419,30574,30526,29871,23961,20619,18079,16182,17943,20740,9416,11980,12434,14942,17496,17528,19424,18642,19653,21384,20751,23192,25396,27341,26894,29074,30635,33118,31956,34259,36112,37925,38672,35684,33400,32846,34939,36144,37897,35895,35290,32432,32186,29374,30712,28297,27379,34149,41827,39650,43983,39079,39186,43153,42921,52812,43588,41960,48170,57335,46424,41550,42274,47556,41179,37883,36846,37763,38131,39471,33485,34258,35014,31889,36804,28321,25790,24815,25087,21860,21673,23512,19922,18177,17780,17021,11808,12931,12482,9062,10088,11275,9600,13498,14708,17171,9758,10342,6531,6775,5080,5395,4482,6053,0,6422,12720,20994,28907,18448,6561,4055,3716,14943,12801,7438,6529,8904,8787,9455,11585,12264,13937,13521,16551,18408,21242,23272,22189,19807,21192,18017,15564,17602,19723,17780,16220,16198,14354,16690,24118,20914,18456,19988,22935,27402,32196,30924,34625,39251,27451,28815,30091,30101,31298,31804,33813,32913,35459,34254,31412,32322,34197,37691,35650,38696,37341,39420,43951,43660,45557,49829,47650,44435,46475,47954,49254,50824,54146,60989,54677,77871
29486,28445,27383,29297,29445,31852,31541,31969,33983,33811,34125,33957,36293,36483,35984,30208,26927,24455,22491,24062,26836,14600,17800,17932,20659,23238,22676,24971,23522,24226,26126,26042,28061,30298,32204,32101,34225,35931,38296,37505,39696,41481,43503,44490,41455,39136,38915,40996,42097,43903,42088,41610,38738,38559,35628,37088,34624,33764,40570,48244,46066,50371,45384,45305,49411,49020,59011,49485,47644,53931,62789,51759,46944,47367,52355,45900,43088,41884,42611,42719,43821,38004,38876,39895,36786,43152,34743,32211,31230,31475,28282,28087,29863,26255,24571,24199,22472,18206,19321,18668,15433,16354,17135,15219,17960,19503,20936,9542,14833,10054,7661,10073,11445,5245,12372,6422,0,7626,15806,22794,12094,2509,5599,9340,19804,17935,9500,7182,9075,7012,6692,11978,13932,16880,17483,20632,22401,25511,27458,25819,23558,24501,21207,18022,19960,22424,18501,16863,15715,14039,14045,19137,18023,17391,20125,22773,25720,32425,32161,35816,39622,31949,33541,34666,34295,35524,36255,38073,36897,39482,37972,34939,35291,37285,40282,38990,41798,41258,43255,47944,47470,48987,53098,51276,48599,50708,52192,53072,54779,57468,64463,58939,82051
36422,35162,34366,36435,36709,38937,38395,38569,40542,40634,41097,41091,43288,43231,42507,36487,33067,30368,28665,30608,33408,21840,24689,25048,27638,30203,29993,32083,30944,31736,33600,33306,35503,37735,39659,39421,41575,43213,45640,44635,46902,48730,50615,51392,48403,46116,45504,47600,48845,50579,48446,47630,44814,44367,41865,42890,40652,39540,45700,53225,51477,56036,51441,51801,55598,55547,65326,56299,54673,60890,69998,59036,54183,54758,59854,53416,50425,49292,50087,50263,51408,45556,46409,47357,44238,47581,40069,37445,36352,36323,33707,33245,34518,30906,29607,29788,25220,23474,25244,25136,21523,21191,21031,18926,19695,21504,21386,8388,17107,12628,9082,14048,16330,8936,18671,12720,7626,0,8319,16654,10696,9851,13156,16261,27212,25230,17125,14784,16514,14101,13379,19309,21463,24503,25065,28215,29999,33083,35047,33444,31177,32123,28830,25604,27515,30008,25690,24075,22535,21026,19650,21244,23035,23818,27041,29467,31344,39110,39303,42904,46288,39496,41038,42202,41893,43120,43819,45667,44515,47100,45597,42562,42866,44871,47778,46599,49379,48881,50880,55566,55096,56596,60688,58897,56210,58314,59798,60698,62403,65062,72069,66545,89669
44694,43378,42651,44744,45028,47237,46644,46741,48694,48871,49372,49397,51566,51440,50640,44548,41091,38322,36733,38789,41586,30159,32973,33361,35931,38489,38311,40391,39250,40014,41893,41625,43806,46040,47959,47740,49893,51532,53958,52939,55216,57046,58914,59639,56666,54389,53655,55752,57046,58753,56497,55529,52750,52177,49885,50704,48586,47363,53134,60516,59035,63716,59343,59902,63552,63654,73321,64513,62952,69147,78308,67353,62498,63074,68141,61694,58744,57605,58383,58522,59622,53809,54676,55657,52540,54568,47659,45011,43871,43691,41409,40820,41804,38252,37173,37612,31623,31259,33253,33321,29631,28854,28272,26176,25792,27637,26424,14624,23747,19878,16426,21708,24178,16975,26867,20994,15806,8319,0,10140,12861,17815,21395,24571,35519,33548,25235,22831,24330,21705,20770,26956,29325,32562,33289,36438,38200,41317,43261,41554,39326,40167,36880,33533,35375,37917,33067,31505,29607,28296,25828,24258,28489,30485,34095,36237,36983,45708,46458,49960,52781,47753,49324,50467,50091,51322,52062,53870,52659,55246,53668,50590,50713,52745,55438,54549,57229,56996,58966,63686,63163,64532,68549,66895,64374,66492,67975,68755,70499,72929,79978,74721,97804
52266,51235,50153,51991,52029,54570,54332,54744,56750,56603,56888,56638,59045,59277,58744,52867,49505,46883,45074,46811,49598,37314,40594,40686,43443,46021,45247,47697,45922,46391,48371,48647,50364,52588,54433,54597,56660,58458,60715,60179,62295,64026,66174,67262,64216,61889,61693,63778,64891,66695,64800,64145,61303,60944,58277,59466,57153,56117,62353,69867,68125,72655,67946,68066,72051,71790,81718,72273,70362,76676,85323,74229,69482,69641,74272,67798,65494,64151,64685,64507,65305,59794,60760,62035,58978,64141,56716,54096,53006,52968,50338,49896,51149,47545,46260,46385,41434,40099,41734,41374,37928,37842,37629,35520,35675,37521,36521,24311,33417,29189,25643,30702,32956,25537,34959,28907,22794,16654,10140,0,13824,24082,28160,32125,42277,40576,31310,28866,29693,26867,25659,31770,34490,38142,39492,42552,44158,47380,49179,47043,45030,45452,42282,38682,40264,42853,36953,35586,33133,32275,28267,22759,29609,33254,37306,38819,37700,47573,49354,52551,54237,53846,55624,56581,55808,57042,58007,59565,58083,60648,58778,55600,55143,57215,59263,59222,61551,62236,64064,68868,68136,69024,72753,71570,69750,71918,73385,73629,75513,77104,84222,80071,102814
40147,39454,38008,39562,39386,42173,42294,43062,45094,44572,44627,44126,46716,47316,47112,41650,38522,36222,34130,35360,38050,25234,28876,28638,31492,34012,32689,35414,33139,33391,35404,36086,37419,39603,41377,41803,43773,45665,47776,47617,49577,51213,53563,54970,51888,49542,49928,51968,52858,54747,53329,53146,50255,50257,47043,48799,46210,45512,52544,60238,57924,62088,56868,56368,60760,60014,70183,60066,57840,64209,72393,61263,56625,56510,60889,54433,52507,51046,51438,51106,51778,46423,47429,48848,45852,55238,46679,44187,43239,43535,40222,40102,41947,38344,36625,36113,34223,30255,31158,30170,27264,28448,29142,27163,29213,30912,31512,18591,26268,21442,18247,21979,23531,16725,24181,18448,12094,10696,12861,13824,0,12250,16321,20832,29650,28238,18581,16267,16559,13772,12478,18277,21078,24846,26531,29461,30945,34174,35874,33567,31673,31915,28829,25180,26648,29225,23155,21822,19318,18523,14483,11446,16259,19459,23488,25082,24656,34082,35602,38870,40937,40579,42451,43299,42349,43575,44631,46073,44502,47047,45102,41912,41353,43426,45440,45457,47741,48581,50368,55179,54404,55222,58932,57784,56109,58284,59743,59869,61774,63281,70400,66398,89047
28278,27408,26150,27920,27949,30507,30382,30987,33016,32662,32861,32561,35003,35375,35029,29446,26282,23974,21883,23189,25915,13286,16760,16686,19497,22059,21166,23647,21882,22457,24402,24565,26372,28606,30485,30537,32622,34392,36687,36099,38216,39958,42094,43241,40181,37846,37902,39965,40965,42813,41207,40927,38039,38009,34853,36550,33977,33262,40348,48052,45680,49841,44665,44328,48603,48010,58105,48286,46291,52618,61265,50189,45418,45689,50540,44071,41475,40197,40841,40849,41866,36125,37030,38148,35057,43228,34466,32001,31084,31456,28017,27958,29948,26389,24551,23902,23420,18205,18927,17935,15042,16627,17796,16028,19339,20761,22587,11854,16160,11563,9688,11083,11936,7013,11963,6561,2509,9851,17815,24082,12250,0,4147,8582,18209,16500,7450,5021,6674,4503,4247,9529,11612,14748,15611,18741,20459,23623,25527,23742,21533,22355,19067,15769,17666,20169,16024,14389,13206,11533,11735,17746,15806,14905,17618,20265,23324,29916,29684,33332,37113,30092,31759,32822,32325,33559,34361,36107,34854,37442,35854,32786,33019,35030,37935,36781,39534,39183,41152,45873,45351,46775,50848,49106,46575,48700,50183,50945,52684,55223,62242,56926,79991
24145,23261,22021,23833,23915,26410,26243,26841,28870,28522,28742,28483,30891,31232,30884,25333,22209,19977,17835,19059,21775,9161,12615,12552,15354,17919,17135,19539,17937,18628,20529,20519,22469,24706,26609,26544,28656,30386,32726,32027,34179,35944,38025,39121,36067,33735,33755,35818,36825,38669,37068,36826,33935,33953,30733,32500,29891,29232,36449,44159,41686,45782,40553,40181,44472,43863,53961,44157,42203,48517,57256,46205,41407,41781,46756,40303,37518,36295,37013,37127,38252,32414,33282,34298,31190,39527,30546,28128,27256,27719,24125,24157,26302,22808,20854,20009,20829,14594,15007,13855,11169,13329,14939,13438,17544,18713,21223,12680,14395,10456,9902,9134,9122,7149,8144,4055,5599,13156,21395,28160,16321,4147,0,4619,14228,12425,4222,2570,4981,4796,5624,7828,9047,11522,11908,15058,16845,19930,21890,20347,18049,19106,15823,12858,14865,17217,14270,12657,12316,10479,12651,20535,16874,14493,16311,19200,23400,28632,27732,31429,35759,26357,27942,29072,28738,29964,30671,32511,31379,33961,32514,29524,30055,32013,35209,33640,36532,35760,37778,42438,42004,43627,47795,45863,43061,45160,46644,47611,49287,52153,59106,53391,76526
