"001","002","003","004","005","006","007","008","009","010"
1866,1782,2117,2000,1760,1613,1439,1437,1108,1506
1867,1806,2141,2000,1761,1614,1440,1438,1108,1507
1792,1731,2066,1925,1686,1538,1365,1362,1033,1431
2277,2217,2552,2411,2172,2024,1850,1848,1519,1917
1306,1257,1592,1439,1200,1053,879,876,547,946
2436,2229,2563,2570,2330,2183,2009,2023,1678,2076
1641,1309,1644,1774,1535,1388,1214,1103,1057,1281
1933,1436,1771,2000,1761,1614,1440,1230,1283,1506
2258,1761,2095,2325,2086,1938,1764,1555,1608,1831
2641,2144,2479,2708,2469,2321,2148,1938,1991,2214
