"081","082","083","084","085","100","101","102","103","104"
31063,32815,30702,26621,29858,50870,25384,24377,25123,27594
34295,32039,29927,26414,29082,50098,24569,23562,24350,26822
40114,28361,26249,23200,25404,46610,21983,20976,20863,23335
41213,29803,27691,24930,26846,39881,13534,18418,20207,20337
41146,24574,22462,21764,21617,42824,17338,16331,17076,19548
44596,29636,27524,26826,26679,40706,14359,19243,21032,21163
42496,25924,23812,25387,22967,47720,13886,15717,16506,18978
47579,31008,28895,31224,28050,44682,9537,24590,12650,25138
44662,36618,34505,40221,33660,36836,8982,16744,18533,17292
52837,45633,43521,48396,42676,41147,18077,21055,22844,21603
