"001","002","003","004","005","006","007","008","009","010"
1499,1518,1198,880,984,1307,1763,1913,2035,1596
1075,1105,697,665,1013,1178,1470,1500,1742,1408
1538,1507,1187,919,1022,1345,1671,1870,1943,1634
1500,1529,1209,845,771,1068,1322,1521,1593,1260
1673,1701,1381,1018,944,1193,1447,1647,1719,1385
1186,1277,957,664,492,681,935,1135,1207,873
1544,1796,1476,1213,1038,937,1174,1373,1445,1112
1507,1637,1317,1019,850,820,1074,1274,1292,863
2157,2287,1967,1669,1500,1470,1724,1924,1943,1513
1681,1960,1678,1159,990,1042,1319,1519,1551,1122
