"061","062","063","064","065","066","067","068","069","070"
4077,4060,2764,2747,3237,2808,5482,3473,3080,4249
3664,3767,2471,2454,2945,2515,5189,3180,2787,3957
4065,3968,2672,2655,3145,2716,5390,3380,2988,4157
3728,3619,2322,2306,2796,2367,5041,3031,2639,3808
3853,3744,2448,2431,2921,2539,5213,3194,2730,3919
3341,3232,1936,1919,2410,1980,4654,2645,2252,3422
3580,3471,2174,2158,2648,2233,4907,3024,2559,3749
3480,3341,2069,1886,2394,1812,4486,2477,2084,3254
3656,3513,2239,1821,2494,2052,4726,2365,1900,3089
3558,3430,2158,1975,2483,1902,4576,2624,2148,3337
