"051","052","053","054","055","056","057","058","059","060"
2570,2739,2520,2942,2014,3164,2284,2379,2752,3320
2277,2446,2227,2649,1721,2871,1992,1966,2339,2907
2478,2647,2428,2850,1922,3072,2192,2367,2740,3308
2129,2297,2078,2501,1573,2722,1843,2153,2529,3096
2254,2423,2204,2626,1698,2848,1968,2278,2654,3222
1742,1911,1692,2114,1186,2336,1457,1766,2142,2710
1980,2149,1930,2353,1425,2574,1695,2005,2381,2948
1832,2019,1831,2253,1325,2475,1596,1906,2281,2849
2004,2312,2481,2813,1975,3125,2246,2556,2932,3499
1922,2108,1958,2380,1570,2720,1841,2151,2526,3094
