"001","002","003","004","005","006","007","008","009","010"
2951,2649,2736,2880,2983,3306,3357,3213,3499,3595
2453,2150,2237,2381,2485,2808,2859,2714,3018,3097
2787,2484,2571,2786,3019,3222,3193,3048,3352,3414
2538,2235,2322,2432,2535,2858,2944,2799,3103,3147
2340,2037,2124,2338,2572,2775,2745,2601,2905,2967
1743,1440,1527,1746,1827,2088,2148,2004,2308,2280
1858,1633,1507,1239,1343,1666,1991,2198,2263,1955
1445,1414,1094,826,930,1253,1578,1778,1850,1542
1703,1672,1352,1084,1188,1511,1836,2036,2108,1800
1798,1767,1447,1179,1282,1605,1931,2130,2203,1894
