"001","002","003","004","005","006","007","008","009","010"
3728,3425,3512,3656,3760,4083,4134,3989,4106,4372
3192,2889,2976,3120,3224,3503,3329,3217,3172,3396
3162,2735,3031,3433,3281,3134,2960,2848,2804,3027
2991,2564,2988,3079,3168,3021,2847,2677,2690,2914
1408,1105,1192,1407,1690,1888,1814,1669,1973,2080
2321,2019,2106,2419,2559,2762,2727,2583,2886,2954
3493,3191,3278,3422,3525,3848,3899,3755,3787,4011
3266,2963,3050,3194,3298,3633,3459,3289,3302,3526
2972,2669,2756,2900,3003,3326,3377,3233,3416,3616
3247,2944,3031,3175,3279,3602,3653,3509,3648,3871
