"001","002","003","004","005","006","007","008","009","010"
2268,2547,2264,1746,1576,1629,1906,2106,2138,1709
2531,2775,2455,2009,1840,1893,2169,2369,2191,1972
2186,2527,2329,1810,1641,1694,1978,2170,1761,1633
1751,2093,2155,1819,1643,1461,1544,1871,1595,1199
1626,1968,2030,1695,1518,1336,1419,1746,1470,1074
1662,2004,1793,1391,1222,1344,1478,1725,1395,1113
1566,1756,1914,1600,1431,1276,1404,1478,1088,1039
2000,2325,2403,2068,1891,1710,1792,2049,1640,1448
2030,2371,2433,2098,1921,1740,1822,2149,1720,1478
1846,1837,2250,1915,1738,1556,1494,1491,1162,1294
