"051","052","053","054","055","056","057","058","059","060"
20534,21969,15802,18290,11897,16949,12781,14597,20032,29385
19478,20901,13829,16317,9924,18616,11641,14285,19720,29073
24692,26115,19043,21531,15138,23830,16855,19499,24934,34287
22915,24350,18182,20670,14277,19330,15161,20705,25507,34860
24842,26277,20109,22597,16204,21257,17088,22632,27434,36787
19223,20658,14490,16978,10585,15638,11469,17013,21815,31168
18707,20142,13974,16463,10069,15122,10953,16497,21300,30652
14820,16255,10087,12576,6183,11235,7067,11379,16815,26168
13803,15238,9070,11559,5166,10218,6564,12108,16911,26263
16875,18310,12142,14631,8238,13290,9122,14665,19468,28821
