"001","002","003","004","005","006","007","008","009","010"
3462,2965,3299,3529,3289,3142,2968,2759,2647,3035
3169,3084,3419,3302,3063,2915,2742,2739,2410,2808
2071,1987,2321,2204,1965,1818,1644,1641,1312,1711
2364,2227,2562,2432,2206,2074,1885,1882,1553,1812
2449,2364,2699,2582,2343,2195,2022,2019,1690,2088
2168,2510,2572,2236,2060,1878,1960,2159,1830,1616
4685,4806,5089,4753,4576,4395,4464,4461,4132,4133
2801,3142,3204,2869,2692,2511,2593,2920,2567,2249
2429,2703,2832,2497,2428,2139,2221,2357,2028,1877
3441,3782,3844,3509,3332,3151,3233,3560,3207,2889
