"001","002","003","004","005","006","007","008","009","010"
967,1309,1508,1026,852,640,698,1034,953,333
1156,1535,1152,633,464,517,794,994,1066,732
1324,1665,1779,1298,1072,911,1045,1292,1109,680
1260,1599,1689,1436,1271,1078,833,1115,747,468
1509,1419,1754,1642,1403,1255,1082,933,397,849
1338,911,1207,1426,1427,1280,1207,893,950,1173
1565,1112,1463,1757,1952,1859,1517,1249,1529,1752
1906,1482,1744,1963,2047,1900,1726,1614,1569,1793
1860,1407,1748,1919,2188,2400,1931,1684,1978,2202
1605,1181,1324,1543,1813,2025,1774,1506,1789,2012
