"195","196","197","198","199","200","201","202","203","204"
26128,40933,39868,55224,36851,26644,28571,32550,31164,38938
24400,39205,38140,53496,35123,24915,26843,30822,29436,37210
28283,43088,42024,57379,39007,28799,30727,34706,33320,41093
33243,48048,46983,62339,43967,33759,35686,39665,38280,46053
33856,48661,47597,62952,44580,34372,36300,40279,38893,46666
36509,51315,50250,65605,47233,37025,38953,42932,41546,49319
40395,55200,54135,69491,51118,40910,42838,46817,45431,53205
45583,60388,59323,74679,56306,46099,48026,52005,50620,58393
40723,55528,54463,69818,51446,41238,43166,47145,45759,53532
37250,52055,50990,66346,47973,37765,39693,43672,42286,50059
