"001","002","003","004","005","006","007","008","009","010"
3197,2894,2981,3196,3429,3632,3603,3458,3762,3824
3534,3231,3318,3532,3766,3969,3939,3795,4099,4161
2955,2652,2739,2953,3187,3390,3360,3216,3520,3582
2781,2478,2565,2765,2868,3191,3187,3043,3346,3481
2860,2557,2644,2707,2810,3133,3266,3121,3425,3422
3151,2848,2935,2875,2978,3301,3557,3412,3716,3590
3790,3488,3574,3789,4022,4225,4196,4052,4355,4417
4218,4108,3866,3599,3702,4025,4351,4550,4623,4314
3922,3891,3571,3303,3407,3730,4055,4255,4327,4019
2876,2845,2525,2257,2360,2683,3009,3208,3281,2972
