"001","002","003","004","005","006","007","008","009","010"
2871,2961,2641,2349,2176,2220,2474,2674,2746,2412
3780,3871,3551,3258,3086,3130,3384,3584,3656,3322
3719,3809,3489,3197,3024,3068,3322,3522,3594,3260
5334,5424,5104,4812,4639,4683,4937,5137,5209,4875
3022,3113,2793,2500,2328,2372,2626,2825,2898,2564
2888,2979,2659,2366,2194,2238,2492,2692,2764,2430
3085,3176,2856,2563,2391,2435,2689,2888,2961,2627
3759,3849,3529,3237,3064,3108,3363,3562,3634,3300
3126,3216,2896,2604,2431,2475,2730,2929,3001,2667
3680,3770,3450,3158,2985,3029,3284,3483,3555,3221
