"031","032","033","034","035","036","037","038","039","040"
4337,4284,4246,3759,3577,3385,3606,3495,3333,3816
1698,1645,1607,1119,938,746,966,1169,1354,1466
2011,1958,1920,1433,1251,1059,1300,1022,1207,1572
2163,2110,2072,1585,1403,1211,1162,884,796,1433
1973,1769,1731,1243,1094,869,869,591,776,1141
4373,3738,4282,4112,4227,3866,3949,4172,4494,4088
2929,2558,2838,2668,2783,2422,2505,2728,3050,2644
3152,2556,3061,2891,3007,2645,2728,2951,3213,2807
3127,2527,3036,2866,2982,2620,2703,2927,3185,2779
2724,2089,2633,2463,2579,2218,2300,2524,2845,2439
