"001","002","003","004","005","006","007","008","009","010"
4572,4662,4342,4050,3877,3921,4175,4375,4447,4113
1932,2022,1702,1410,1237,1281,1536,1735,1807,1474
2245,2336,2016,1724,1551,1595,1849,2049,2314,1885
2390,2488,2168,1875,1733,1721,1957,2157,2176,1747
2098,2146,1826,1534,1361,1428,1665,1865,1884,1454
3643,3216,3512,3731,3763,3615,3442,3330,3285,3508
2464,2037,2332,2558,2319,2171,1998,1977,1841,2064
2461,2034,2330,2549,2542,2395,2221,2201,2064,2288
2432,2006,2301,2521,2517,2370,2196,2176,2039,2263
1994,1568,1863,2083,2114,1967,1793,1681,1636,1860
