"001","002","003","004","005","006","007","008","009","010"
4443,4412,4091,3824,3927,4250,4576,4775,4848,4539
1988,2016,1696,1333,1259,1505,1759,1958,2031,1697
1657,1686,1366,1002,928,1225,1479,1679,1751,1417
1899,1927,1607,1244,1170,1466,1720,1920,1992,1658
2263,2292,1972,1608,1534,1780,2034,2234,2306,1972
2493,2522,2202,1838,1764,1845,2099,2298,2371,2037
2144,2265,1945,1582,1508,1493,1747,1947,2019,1685
2301,2391,2071,1779,1606,1650,1904,2104,2176,1842
2715,2805,2485,2193,2020,2064,2318,2518,2590,2256
2650,2740,2420,2128,1955,1999,2253,2453,2525,2191
