X__gid,cod,tipo,cveigecem,nom_mun,deleg,cveinegi,nom_reg,num_reg,uso,tipologia,valm2,distrito_centro,area,distrito1_nombre,distrito1_puntos,distrito1_area,distrito2_nombre,distrito2_puntos,distrito2_area,distrito3_nombre,distrito3_puntos,distrito3_area,distrito4_nombre,distrito4_puntos,distrito4_area,distrito5_nombre,distrito5_puntos,distrito5_area
1916,42,I3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Industrial mediana,Industrial,NA,158,1595957.737,158,601,1580182.21,159,6,15775.53,0,0,0.00,0,0,0.00,0,0,0.00
2257,10,H3,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Habitacional interés social,Habitacional,NA,194,254027.2027,194,607,254027.20,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5687,155,H1,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional precario,Habitacional,NA,189,477352.9555,189,607,477352.96,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1859,47,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,168,163102.9213,163,3,804.78,168,605,162298.14,0,0,0.00,0,0,0.00,0,0,0.00
5754,15,I1,91,TEZOYUCA,Ecatepec de Morelos,15100,Texcoco,XI,Industrial económica,Industrial,NA,172,139029.4268,172,608,139029.43,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
7376,189,C2,115,ZUMPANGO,Ecatepec de Morelos,15120,Zumpango,XVI,Comercial medio,Comercial,NA,135,176468.9146,135,608,176468.91,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1184,169,H3,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Habitacional interés social,Habitacional,NA,205,375069.4993,205,601,370142.48,206,8,4927.02,0,0,0.00,0,0,0.00,0,0,0.00
1448,35,H2,85,CHIMALHUACÁN,Texcoco,15031,Chimalhuacán,III,Habitacional popular,Habitacional,NA,187,991520.3062,187,609,991520.31,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2055,4,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,108852.4818,134,609,108852.48,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
84,40,H2,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Habitacional popular,Habitacional,NA,170,385578.6059,169,35,22123.36,170,575,363455.24,0,0,0.00,0,0,0.00,0,0,0.00
1858,98,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,168,2998947.255,168,610,2998947.26,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2029,11,H3,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Habitacional interés social,Habitacional,NA,133,309090.3902,133,610,309090.39,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3662,16,E1,119,NEXTLALPAN,Ecatepec de Morelos,15059,Zumpango,XVI,Equipamiento,Equipamiento,NA,135,26673.2614,135,610,26673.26,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6061,120,E1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Equipamiento,Equipamiento,NA,139,271867.366,139,611,271867.37,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6578,8,H4,7,TULTEPEC,Ecatepec de Morelos,15108,Tultitlán,XIV,Habitacional residencial medio,Habitacional,NA,137,1464158.977,137,611,1464158.98,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6599,34,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,144,2001218.781,144,611,2001218.78,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5665,159,H2,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional popular,Habitacional,NA,175,3205033.014,175,613,3205033.01,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6640,33,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,144,25093.25698,136,18,736.83,144,595,24356.42,0,0,0.00,0,0,0.00,0,0,0.00
121,59,H1,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Habitacional precario,Habitacional,NA,170,313192.8856,170,614,313192.89,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
706,25,H2,100,ATIZAPÁN DE ZARAGOZA,Naucalpan de Juárez,15013,Tlalnepantla,XII,Habitacional popular,Habitacional,NA,117,2185144.187,117,513,1825698.64,118,101,359445.54,0,0,0.00,0,0,0.00,0,0,0.00
1192,174,E1,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Equipamiento,Equipamiento,NA,206,63550.43726,206,614,63550.44,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1226,3,E1,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Equipamiento,Equipamiento,NA,203,190456.5719,203,614,190456.57,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1605,15,H2,1,CUAUTITLÁN,Naucalpan de Juárez,15024,Tultitlán,XIV,Habitacional popular,Habitacional,NA,132,875964.2182,132,614,875964.22,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2176,9,H2,95,HUIXQUILUCAN,Naucalpan de Juárez,15037,Naucalpan,VIII,Habitacional popular,Habitacional,NA,100,2374601.232,100,614,2374601.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2027,25,H3,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Habitacional interés social,Habitacional,NA,133,102500.0252,133,615,102500.03,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6038,108,H3,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional interés social,Habitacional,NA,114,98466.77382,113,22,3522.39,114,593,94944.39,0,0,0.00,0,0,0.00,0,0,0.00
94,45,H2,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Habitacional popular,Habitacional,NA,169,531913.7854,169,616,531913.79,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2132,49,H1,95,HUIXQUILUCAN,Naucalpan de Juárez,15037,Naucalpan,VIII,Habitacional precario,Habitacional,NA,100,952857.5775,100,617,952857.58,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2827,28,E1,16,JUCHITEPEC,Nezahualcóyotl,15050,Amecameca,I,Equipamiento,Equipamiento,NA,206,810103.7887,206,617,810103.79,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4939,104,H2,48,TEMASCALAPA,Ecatepec de Morelos,15084,Ecatepec,V,Habitacional popular,Habitacional,NA,171,472942.4731,171,617,472942.47,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5388,107,H2,90,TEPETLAOXTOC,Texcoco,15093,Texcoco,XI,Habitacional popular,Habitacional,NA,172,815699.1869,172,617,815699.19,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6627,50,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,145,75514.38697,145,617,75514.39,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
710,120,H1,100,ATIZAPÁN DE ZARAGOZA,Naucalpan de Juárez,15013,Tlalnepantla,XII,Habitacional precario,Habitacional,NA,111,489292.7001,111,618,489292.70,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1383,5,H3,83,CHICOLOAPAN,Texcoco,15029,Chimalhuacán,III,Habitacional interés social,Habitacional,NA,189,42424.66887,189,618,42424.67,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5410,123,H2,90,TEPETLAOXTOC,Texcoco,15093,Texcoco,XI,Habitacional popular,Habitacional,NA,172,265015.1891,172,618,265015.19,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5970,99,H4,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional residencial medio,Habitacional,NA,113,75223.11494,113,618,75223.11,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
146,11,H3,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Habitacional interés social,Habitacional,NA,172,134724.9698,172,619,134724.97,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3672,67,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,153,295250.0118,153,619,295250.01,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
103,58,I2,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Industrial ligera,Industrial,NA,170,242787.5395,170,620,242787.54,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5307,100,E1,5,TEOLOYUCAN,Naucalpan de Juárez,15091,Tultitlán,XIV,Equipamiento,Equipamiento,NA,132,5952163.757,132,620,5952163.76,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6579,13,H2,7,TULTEPEC,Ecatepec de Morelos,15108,Tultitlán,XIV,Habitacional popular,Habitacional,NA,136,1914140.008,136,620,1914140.01,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6612,19,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,130,289110.0652,130,620,289110.07,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4745,57,H4,47,TECÁMAC,Ecatepec de Morelos,15081,Ecatepec,V,Habitacional residencial medio,Habitacional,NA,166,46081.49709,166,621,46081.50,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5374,128,H2,90,TEPETLAOXTOC,Texcoco,15093,Texcoco,XI,Habitacional popular,Habitacional,NA,172,914012.0442,172,621,914012.04,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5734,17,H2,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional popular,Habitacional,NA,174,2258038.78,174,621,2258038.78,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5930,29,H1,21,TLALMANALCO,Nezahualcóyotl,15103,Amecameca,I,Habitacional precario,Habitacional,NA,205,1171183.746,205,621,1171183.75,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1452,19,H2,85,CHIMALHUACÁN,Texcoco,15031,Chimalhuacán,III,Habitacional popular,Habitacional,NA,188,1408458,188,622,1408458.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
