"135","136","137","138","139","140","141","142","143","144"
54490,36291,31382,26341,26850,27638,33656,32486,33910,35276
53233,35035,30125,25084,27904,28692,32400,31229,32653,34019
61643,43445,38535,37920,33091,33879,45155,41805,43423,45669
59462,41263,36353,35738,33968,28127,42973,39623,41241,43487
49492,31294,26384,21344,19581,20874,28659,27488,28912,30278
50656,32458,27548,22508,17725,19018,29823,28652,30076,31442
47401,29202,24292,23677,23663,24955,30912,27562,29180,31426
43669,25470,20561,15520,15367,16660,22835,21665,23089,24455
45317,27118,22209,17168,11231,12523,24483,23313,24737,26103
45778,27580,22670,17615,8881,10173,24931,23760,25184,26550
