"001","002","003","004","005","006","007","008","009","010"
1644,1217,1512,1732,1763,1616,1442,1330,1285,1509
1827,1401,1696,1916,1947,1800,1626,1514,1469,1693
2288,1861,2156,2376,2407,2260,2086,1974,1929,2153
2715,2289,2584,2803,2835,2687,2514,2402,2357,2580
1879,1452,1747,1967,2056,1909,1735,1565,1578,1802
1723,1296,1592,1811,1843,1695,1522,1409,1365,1588
2526,2099,2394,2614,2645,2498,2324,2212,2167,2391
2152,1725,2020,2240,2329,2182,2008,1838,1851,2075
2138,1882,1897,2068,2338,2359,2185,2015,2028,2252
1881,1625,1641,1812,2081,2293,2287,2018,2084,2307
