"051","052","053","054","055","056","057","058","059","060"
1639,1808,1806,2228,1250,2265,1326,1184,1793,2062
1823,1992,1990,2412,1357,2449,1510,1367,1772,2040
2283,2452,2450,2572,1817,2691,1970,1827,1583,1851
2711,2880,2877,3296,2245,3415,2398,2255,2306,2575
1933,2124,1942,2364,1436,2581,1619,1462,1966,2235
1719,1887,1885,2308,1301,2344,1406,1263,1838,2365
2521,2690,2688,2821,2055,2941,2208,2066,1832,2101
2206,2397,2215,2637,1709,2854,1892,1735,2347,2807
2415,2574,2391,2814,1886,3031,2102,1912,2524,2984
2438,2630,2447,2870,1942,3086,2125,1968,2580,3040
