"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
1845,"036","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"147",1093122.7754835,"141",1,"147",99,"0",0,"0",0,"0",0
1739,"040","I3","121","CUAUTITLÁN IZCALLI","Naucalpan de Juárez","15121","Cuautitlán Izcalli","IV","Industrial mediana","Industrial",NA,"128",6822700.57850416,"122",12,"125",35,"128",52,"132",1,"0",0
1740,"054","H5","121","CUAUTITLÁN IZCALLI","Naucalpan de Juárez","15121","Cuautitlán Izcalli","IV","Habitacional residencial bueno","Habitacional",NA,"125",85023.1185700074,"125",78,"128",22,"0",0,"0",0,"0",0
1741,"157","E1","121","CUAUTITLÁN IZCALLI","Naucalpan de Juárez","15121","Cuautitlán Izcalli","IV","Equipamiento","Equipamiento",NA,"128",94884.0372885587,"112",29,"128",70,"0",0,"0",0,"0",0
1846,"056","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"159",461223.668322763,"159",86,"160",11,"173",3,"0",0,"0",0
1847,"182","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"159",101456.840415597,"159",100,"0",0,"0",0,"0",0,"0",0
1848,"178","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"159",155933.445581824,"159",92,"173",8,"0",0,"0",0,"0",0
1849,"118","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"160",4364154.94568489,"157",31,"159",27,"160",40,"173",2,"0",0
1850,"050","C2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial medio","Comercial",NA,"158",266688.623910953,"147",13,"158",87,"0",0,"0",0,"0",0
1900,"018","C2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial medio","Comercial",NA,"160",194585.528403908,"157",11,"160",89,"0",0,"0",0,"0",0
1795,"167","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"163",730779.764305741,"162",11,"163",87,"168",2,"0",0,"0",0
1851,"164","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"146",2094425.0489442,"146",92,"164",7,"0",0,"0",0,"0",0
1796,"138","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"147",55026.2220215648,"147",100,"0",0,"0",0,"0",0,"0",0
1797,"139","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"147",160282.825806545,"146",24,"147",76,"0",0,"0",0,"0",0
1798,"170","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"168",116596.308312813,"168",100,"0",0,"0",0,"0",0,"0",0
1852,"007","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"155",411236.740704924,"155",91,"156",9,"0",0,"0",0,"0",0
1853,"006","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"156",525720.930564638,"155",25,"156",75,"0",0,"0",0,"0",0
1854,"111","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"155",473787.09657304,"155",96,"156",4,"0",0,"0",0,"0",0
1855,"005","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"155",1441713.56010473,"151",1,"152",4,"154",18,"155",76,"156",1
1857,"153","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"168",44641.5039826501,"168",100,"0",0,"0",0,"0",0,"0",0
1875,"162","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"146",2207200.65101486,"143",3,"146",97,"0",0,"0",0,"0",0
1876,"022","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"156",461450.793796379,"154",3,"156",97,"0",0,"0",0,"0",0
1820,"044","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"149",4345468.77591775,"140",24,"147",14,"149",62,"0",0,"0",0
1800,"032","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"147",431309.929263611,"147",100,"0",0,"0",0,"0",0,"0",0
3656,"007","H1","119","NEXTLALPAN","Ecatepec de Morelos","15059","Zumpango","XVI","Habitacional precario","Habitacional",NA,"135",689423.425492071,"135",100,"0",0,"0",0,"0",0,"0",0
