X__gid,cod,tipo,cveinegi,tipologia,distrito,area
6607,29,I1,15109,Industrial,NA,57890.06387
6608,54,H3,15109,Habitacional,NA,16039.62096
6609,46,H2,15109,Habitacional,NA,38749.97889
6610,5,H3,15109,Habitacional,NA,497289.2409
6611,52,H2,15109,Habitacional,NA,2004659.772
6612,19,H2,15109,Habitacional,NA,289110.0652
6613,18,H3,15109,Habitacional,NA,101723.6739
6627,50,H2,15109,Habitacional,NA,75514.38697
6615,56,H3,15109,Habitacional,NA,324276.9784
6616,1,H2,15109,Habitacional,NA,1617487.503
6617,43,H2,15109,Habitacional,NA,752432.6433
6618,24,C2,15109,Comercial,NA,295529.1533
6619,35,I3,15109,Industrial,NA,2233963.62
6620,40,H2,15109,Habitacional,NA,1631753.433
6621,51,H2,15109,Habitacional,NA,388457.885
6622,16,H3,15109,Habitacional,NA,630437.7268
6623,45,H2,15109,Habitacional,NA,4369062.073
6629,10,H2,15109,Habitacional,NA,2049106.785
6630,39,H2,15109,Habitacional,NA,1100533.157
6624,57,B1,15109,Agostadero,NA,10824032.04
6625,25,H3,15109,Habitacional,NA,19770.25612
6626,32,H3,15109,Habitacional,NA,1812301.054
6635,7,H3,15109,Habitacional,NA,648450.1796
6636,55,H2,15109,Habitacional,NA,459654.9938
6637,26,H3,15109,Habitacional,NA,134335.3156
6638,44,H2,15109,Habitacional,NA,515814.4461
6651,15,H2,15109,Habitacional,NA,944601.7365
6639,2,I3,15109,Industrial,NA,3676943.1
6640,33,H2,15109,Habitacional,NA,25093.25698
6641,47,I2,15109,Industrial,NA,144808.8442
6642,9,H3,15109,Habitacional,NA,162131.0084
6643,48,A1,15109,Agrícola,NA,2522696.545
6644,27,I2,15109,Industrial,NA,567082.6366
6654,42,A1,15109,Agrícola,NA,5366168.668
6646,13,I2,15109,Industrial,NA,2594039.56
6647,11,H2,15109,Habitacional,NA,545570.849
6648,60,I2,15109,Industrial,NA,35125.59546
6649,4,E1,15109,Equipamiento,NA,582402.7414
6650,22,H3,15109,Habitacional,NA,579878.2355
6652,58,H4,15109,Habitacional,NA,43840.21125
6653,31,I2,15109,Industrial,NA,215200.4356
6655,30,H2,15109,Habitacional,NA,167812.3931
6879,7,H4,15112,Habitacional,NA,329578.88
7320,172,H2,15120,Habitacional,NA,1156647.571
6803,25,I2,15122,Industrial,NA,72817.48509
6804,23,I2,15122,Industrial,NA,273431.5576
6801,16,E1,15122,Equipamiento,NA,906980.138
6802,102,H3,15122,Habitacional,NA,189554.2927
6805,40,H1,15122,Habitacional,NA,957856.5863
6797,32,A2,15122,Agrícola,NA,7058176.937
6806,43,H3,15122,Habitacional,NA,169858.2288
7363,140,A3,15120,Agrícola,NA,5224444.384
6812,39,C2,15122,Comercial,NA,601056.1673
6792,12,H2,15122,Habitacional,NA,595788.0322
6793,19,H2,15122,Habitacional,NA,97800.47387
6794,4,H2,15122,Habitacional,NA,2263215.13
6795,13,E1,15122,Equipamiento,NA,69615.34527
7364,116,H1,15120,Habitacional,NA,38544.84636
6807,30,A2,15122,Agrícola,NA,1694464.003
6808,44,H3,15122,Habitacional,NA,64810.36647
6809,36,H3,15122,Habitacional,NA,464693.8106
6810,41,H1,15122,Habitacional,NA,72328.36822
6811,6,E1,15122,Equipamiento,NA,309454.4362
6817,7,H2,15122,Habitacional,NA,3885108.563
6819,17,H2,15122,Habitacional,NA,1189014.971
6820,42,H1,15122,Habitacional,NA,1001705.85
6880,38,H5,15112,Habitacional,NA,33093.15092
6823,37,E1,15122,Equipamiento,NA,68134.66578
6824,22,I3,15122,Industrial,NA,268818.5033
6825,8,H1,15122,Habitacional,NA,518132.6412
6826,3,H2,15122,Habitacional,NA,1015743.603
6827,5,H2,15122,Habitacional,NA,2308116.64
6828,26,H2,15122,Habitacional,NA,108818.5976
