X__gid,cod,tipo,cveinegi,tipologia,distrito,area
657,8,H2,15011,Habitacional,NA,548211.5974
672,115,H2,15011,Habitacional,NA,483007.2967
668,119,H1,15011,Habitacional,NA,628412.8147
1904,57,H3,15033,Habitacional,NA,383871.0161
669,111,H2,15011,Habitacional,NA,432242.7639
1905,168,H3,15033,Habitacional,NA,17544.6239
1669,38,H2,15121,Habitacional,NA,788584.2407
570,7,H1,15009,Habitacional,207,966255.0928
571,55,A3,15009,Agrícola,207,18702796.74
1913,78,H2,15033,Habitacional,NA,286778.2182
1700,19,H4,15121,Habitacional,NA,561048.3793
1702,4,C3,15121,Comercial,NA,514621.9478
1703,123,H1,15121,Habitacional,NA,52416.63519
1704,57,H1,15121,Habitacional,NA,191509.1694
572,6,H1,15009,Habitacional,207,1486170.896
1670,100,H3,15121,Habitacional,NA,539658.1155
1671,21,H3,15121,Habitacional,NA,350674.5986
560,65,A4,15009,Agrícola,207,591466.0018
934,27,H1,15016,Habitacional,NA,295452.2045
627,9,H1,15010,Habitacional,NA,1698886.491
561,12,H2,15009,Habitacional,207,358968.0776
574,29,A1,15009,Agrícola,207,2176830.27
