"115","116","117","118","119","120","121","122","123","124"
6248,5797,6160,6433,6511,6994,8710,9440,7578,6767
4976,4526,4889,5161,5239,5722,7438,8169,6307,5496
4102,3652,4015,4287,4365,4849,6564,7295,5433,4622
4489,4039,4402,4674,4752,5235,6951,7682,5820,5009
5804,5776,6139,6412,6490,6973,8689,9419,7557,6746
4907,4456,4819,5091,5169,5653,7369,8099,6237,5426
4162,3711,4074,4347,4424,4908,6624,7354,5492,4681
4213,3979,4342,4615,4692,5176,6892,7622,5760,4949
4407,4249,4612,4884,4962,5446,7162,7892,6030,5219
4265,4150,4513,4743,4864,5347,7063,7793,5931,5120
